"reach","tribs","lower","middle","upper","chsk"
4,"Kwethluk","65.3%","0%","0%","12.4%"
5,"Kasigluk, Kisaralik","80.1%","0%","0%","6%"
6,"Tuluksak","100%","0%","0%","1.7%"
9,"Aniak","0%","28.1%","0%","24.6%"
10,"Owhat","0%","0.5%","0%","0.4%"
11,"Holokuk, Sue Creek, Veahna","0%","3.7%","0%","3.4%"
12,"Oskawalik","0%","2.7%","0%","2.4%"
13,"Crooked Creek, George","0%","6%","0%","4.8%"
15,"Vreeland, Holitna","0%","77.3%","0%","64.6%"
16,"Stony","0%","32.8%","0%","25.8%"
17,"Swift, Tatlawiksuk","0%","100%","0%","55.9%"
20,"Selatna, Black","0%","0%","6%","6%"
22,"Takotna","0%","0%","17.5%","17.5%"
24,"Middle Fork","0%","0%","94%","94%"
26,"South Fork, East Fork","0%","0%","100%","100%"
