"","bgr_lm","bgr_lme","bgr_ssm1","bgr_ssm2","bgr_ssm3","bgr_ssm4","ess_lm","ess_lme","ess_ssm1","ess_ssm2","ess_ssm3","ess_ssm4"
"alpha","<1","<1","NaN","NaN","NaN","NaN","<1","0","NaN","NaN","NaN","NaN"
"beta","<1","0","NaN","NaN","NaN","NaN","<1","0","NaN","NaN","NaN","NaN"
"U_msy","NaN","NaN","0","0","0","0","NaN","NaN","<1","4","<1","4"
"S_msy","NaN","NaN","0","<1","0","0","NaN","NaN","<1","4","<1","5"
"sigma_R","NaN","NaN","0","0","0","0","NaN","NaN","0","<1","0","<1"
"phi","NaN","NaN","0","0","0","0","NaN","NaN","0","0","0","0"
"pi","NaN","NaN","0","0","0","0","NaN","NaN","0","0","0","0"
"mean_rho","NaN","NaN","0","0","0","0","NaN","NaN","0","<1","0","0"
"R","NaN","NaN","0","<1","<1","<1","NaN","NaN","<1","<1","<1","<1"
"U","NaN","NaN","0","0","0","0","NaN","NaN","0","<1","0","<1"
